סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
Totals,,,,,,,"17,105","10,709",63%,"8,439",49%,"8,192",48%
347757,סאדברי ירושלים,ירושלים,העיר ירושלים,יהודי,אסנת עוזיאל,ממלכתי,12,1,8%,1,8%,1,8%
168419,אולפנת צביה יצירתית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,71,61,86%,46,65%,45,63%
141499,אור תורה סטון לבנים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,46,39,85%,19,41%,18,39%
140145,ישיבת חורב,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,96,91,95%,41,43%,39,41%
144691,ישיבת נעם,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,80,73,91%,22,28%,18,23%
140137,ישיבת נתיב מאיר,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,55,1,2%,1,2%,1,2%
140038,עירוני דתי רוטשילד,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,48,47,98%,42,88%,40,83%
140129,קרית נוער ירושלים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,83,52,63%,28,34%,25,30%
141168,תורני לבנות ב.שולמית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,36,32,89%,24,67%,24,67%
140236,תורני נסויי בנות פלך,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,102,95,93%,41,40%,29,28%
140186,"תורני ע""ש פ. הימלפרב",ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,131,125,95%,111,85%,111,85%
170043,תיכון שחרית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,50,42,84%,36,72%,36,72%
140053,אקדמיה למוסיקה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,43,1,2%,1,2%,1,2%
140079,הגמנסיה העברית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,142,91,64%,66,46%,66,46%
144097,המרכז הישראלי למצוינות בחינוך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,56,0,0%,0,0%,0,0%
771089,התיכון הניסויי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,58,57,98%,43,74%,43,74%
141010,חטב מכללת אורט גבעת רם ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,67,57,85%,56,84%,56,84%
170399,חטיב אורט מינקןף,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,182,179,98%,109,60%,102,56%
140731,מקיף גילה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,57,44,77%,37,65%,37,65%
140723,"מקיף ע""ש זיו",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,174,160,92%,146,84%,145,83%
160242,מקיף קשת,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,67,63,94%,5,7%,1,1%
645424,ניסוי ארגנטינה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,45,45,100%,39,87%,34,76%
140046,עירוני ג',ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,44,37,84%,23,52%,21,48%
140962,עירוני מסורתי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,50,45,90%,35,70%,27,54%
141309,עירוני פסגת זאב,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,77,77,100%,45,58%,45,58%
641522,על יסודי אדם,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,54,1,2%,0,0%,0,0%
144592,קדמה ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,18,18,100%,17,94%,17,94%
170092,"קשת ראם ע""ש אליס סליגסברג",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,82,62,76%,16,20%,15,18%
140087,רנה קסין דרכא,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,88,51,58%,19,22%,19,22%
160416,רעות קהילה דתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,108,98,91%,95,88%,95,88%
144626,תבל גבעה צרפתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,32,0,0%,0,0%,0,0%
641662,תבל תיכון רמות,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,43,42,98%,41,95%,40,93%
140871,תיכון גבעת גונן,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,57,48,84%,48,84%,39,68%
641563,תיכון דרך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,61,52,85%,39,64%,39,64%
346494,תיכון יד ביד,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,52,25,48%,16,31%,16,31%
140806,תיכון לאומנויות,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,92,60,65%,11,12%,11,12%
140103,"תיכון ע""ש בויאר",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,100,65,65%,43,43%,43,43%
140061,תכון ליד האוניברסיטה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,176,0,0%,0,0%,0,0%
112953,"אהבת ישראל (חרד""ל)",ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,ממלכתי דתי,45,1,2%,0,0%,0,0%
113217,הר נוף ממד בנות,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,ממלכתי דתי,60,44,73%,34,57%,32,53%
111393,נועם בנות ק.משה,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,ממלכתי דתי,80,76,95%,75,94%,75,94%
246041,אהבת ישראל,ירושלים,העיר ירושלים,יהודי,שירה יזדי,ממלכתי דתי,27,25,93%,25,93%,25,93%
430074,מקור התקווה,ירושלים,העיר ירושלים,יהודי,שמחה שגית קליימן,ממלכתי,9,0,0%,0,0%,0,0%
140012,אולפנא תורנית חורב,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,133,122,92%,108,81%,102,77%
770727,"אולפנת בנ""ע טל רמות",ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,59,59,100%,28,47%,18,31%
140491,אולפנת צביה ירושלים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,32,32,100%,32,100%,31,97%
141549,אור תורה סטון לבנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,131,130,99%,128,98%,127,97%
170514,אורט פלך בנים ספניאן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,90,88,98%,67,74%,67,74%
160598,ארץ הצבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,32,2,6%,2,6%,2,6%
442855,הרטמן בנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,89,88,99%,69,78%,59,66%
141754,ישיבה תיכ' תורה ומדע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,33,33,100%,29,88%,28,85%
144758,"ישיבת בנ""ע פסגת זאב",ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,45,18,40%,3,7%,0,0%
615948,ישיבת מקור חיים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,100,94,94%,78,78%,75,75%
160259,ליבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,57,45,79%,0,0%,0,0%
141390,מדרשיית עלמא אמונה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,91,28,31%,28,31%,28,31%
140277,מדרשיית עמליה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,41,40,98%,25,61%,25,61%
682351,מסע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,57,0,0%,0,0%,0,0%
144220,תורני נסויי הרטמן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,67,67,100%,21,31%,19,28%
796581,טומשין ירושלים יסודי בנות,ירושלים,העיר ירושלים,ערבי, ,ממלכתי,21,0,0%,0,0%,0,0%
796516,טומשין ירושלים יסודי בנים,ירושלים,העיר ירושלים,ערבי, ,ממלכתי,26,0,0%,0,0%,0,0%
616508,אלסופרא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,86,85,99%,83,97%,83,97%
616961,ארתיקאא לשפות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,36,33,92%,33,92%,33,92%
674564,ב''ס עהדונא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,58,0,0%,0,0%,0,0%
747345,"בי""ס אלמוסתקבל",ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,32,0,0%,0,0%,0,0%
511808,"בי""ס יסודי מדל איסט",ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,30,0,0%,0,0%,0,0%
747360,בית ספר יסודי אלסלאם,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,58,0,0%,0,0%,0,0%
746529,בית ספר יסודי אלפארו,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,45,0,0%,0,0%,0,0%
430355,בית ספר יסודי אלפגר אלגדיד,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,55,0,0%,0,0%,0,0%
440685,בית שכונת זגיר,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,69,0,0%,0,0%,0,0%
430363,גיל אלמוסתקבל,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,35,0,0%,0,0%,0,0%
148288,כפר עקב,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,119,31,26%,24,20%,24,20%
