סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
Totals,,,,,,,"17,105","10,361",61%,"8,420",49%,"8,022",47%
347757,סאדברי ירושלים,ירושלים,העיר ירושלים,יהודי,אסנת עוזיאל,ממלכתי,12,1,8%,1,8%,1,8%
168419,אולפנת צביה יצירתית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,71,64,90%,48,68%,34,48%
141499,אור תורה סטון לבנים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,46,38,83%,30,65%,28,61%
140145,ישיבת חורב,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,96,53,55%,10,10%,1,1%
144691,ישיבת נעם,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,80,5,6%,1,1%,1,1%
140137,ישיבת נתיב מאיר,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,55,24,44%,7,13%,3,5%
140038,עירוני דתי רוטשילד,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,48,29,60%,36,75%,35,73%
140129,קרית נוער ירושלים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,83,1,1%,0,0%,0,0%
141168,תורני לבנות ב.שולמית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,36,20,56%,19,53%,17,47%
140236,תורני נסויי בנות פלך,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,102,67,66%,46,45%,42,41%
140186,"תורני ע""ש פ. הימלפרב",ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,131,131,100%,100,76%,93,71%
170043,תיכון שחרית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,ממלכתי דתי,50,50,100%,47,94%,47,94%
140053,אקדמיה למוסיקה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,43,41,95%,39,91%,38,88%
140079,הגמנסיה העברית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,142,60,42%,41,29%,39,27%
144097,המרכז הישראלי למצוינות בחינוך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,56,56,100%,56,100%,56,100%
771089,התיכון הניסויי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,58,5,9%,4,7%,3,5%
141010,חטב מכללת אורט גבעת רם ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,67,59,88%,55,82%,55,82%
170399,חטיב אורט מינקןף,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,182,91,50%,14,8%,12,7%
140731,מקיף גילה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,57,46,81%,41,72%,41,72%
140723,"מקיף ע""ש זיו",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,174,146,84%,140,80%,132,76%
160242,מקיף קשת,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,67,63,94%,52,78%,51,76%
645424,ניסוי ארגנטינה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,45,32,71%,20,44%,3,7%
140046,עירוני ג',ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,44,25,57%,20,45%,19,43%
140962,עירוני מסורתי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ממלכתי,50,49,98%,47,94%,47,94%
